epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.020056818181818186,1.596373319753011,0.40773333333333334,1.5460972330093383,0.454
2,0.02011363636363636,1.1985667894999186,0.5706,1.1210018467903138,0.5962
3,0.020170454545454547,1.0095705813513862,0.6454666666666666,0.9735761832237244,0.6542
4,0.020227272727272733,0.8926804318216112,0.6884,0.8581543301582336,0.693
5,0.020284090909090908,0.8093376236703661,0.7192666666666667,0.7990840385437011,0.725
6,0.020340909090909094,0.7407090432167053,0.7427333333333334,0.773116818857193,0.7368
7,0.020397727272727272,0.6914151142544217,0.7628222222222222,0.7157751396179199,0.7562
8,0.020454545454545454,0.6376819752163357,0.7826,0.8254492569446563,0.7262
9,0.02051136363636364,0.6063154700597128,0.7925555555555556,0.6627131702423096,0.7676
10,0.02056818181818182,0.5587689600520663,0.8096444444444445,0.5412089003562928,0.8104
11,0.020625,0.5307319033092923,0.8194,0.6378496136426925,0.7874
12,0.020681818181818187,0.5015263069258796,0.8290888888888889,0.60371119338274,0.7888
13,0.020738636363636362,0.46896215354071724,0.8412,0.6394532213270664,0.7856
14,0.020795454545454548,0.45395915259255304,0.8456666666666667,0.5742806635439396,0.808
15,0.020852272727272733,0.4311018673578898,0.8534,0.56466931848526,0.81
16,0.02090909090909091,0.41548174407217237,0.8591777777777778,0.5477343051850796,0.82
17,0.02096590909090909,0.4047303947872586,0.8624444444444445,0.5155545678138733,0.8276
18,0.021022727272727273,0.3842147807227241,0.8713333333333333,0.557402027541399,0.822
19,0.021079545454545455,0.3692891186396281,0.8755777777777778,0.5191825144290924,0.8228
20,0.021136363636363637,0.3641807939317491,0.8765777777777778,0.4684636752665043,0.8454
21,0.02119318181818182,0.3445136134783427,0.8827777777777778,0.4416811449289322,0.846
22,0.02125,0.34530647275182935,0.8830222222222223,0.46553114193975925,0.8444
23,0.021306818181818184,0.3331346182293362,0.8860444444444444,0.4852755935370922,0.8396
24,0.021363636363636362,0.32436592973073325,0.8891555555555556,0.44983185181617735,0.8436
25,0.021420454545454548,0.3141897797372606,0.8928222222222222,0.4290367445588112,0.8552
26,0.02147727272727273,0.30629971543947854,0.8962888888888889,0.41714477752447127,0.854
27,0.02153409090909091,0.2979932583173116,0.8987777777777778,0.3959323697090149,0.861
28,0.02159090909090909,0.29644909551938375,0.8991777777777777,0.506310248041153,0.8354
29,0.021647727272727273,0.289852947584788,0.9000888888888889,0.5233513596713543,0.822
30,0.021704545454545456,0.2841210206932492,0.9036444444444445,0.5532961124420166,0.8252
31,0.021761363636363638,0.28100931242307026,0.9043111111111111,0.46216365437209606,0.8434
32,0.02181818181818182,0.27476212336222333,0.9054888888888889,0.43491398763656614,0.8512
33,0.021875000000000002,0.2705859350363414,0.9058888888888889,0.4697642539024353,0.8492
34,0.021931818181818184,0.2652391102049086,0.9093111111111111,0.41223184900283816,0.865
35,0.021988636363636363,0.26425686362584433,0.9088888888888889,0.44460912504196165,0.85
36,0.02204545454545455,0.25905108347998723,0.9120888888888888,0.4256190955400467,0.8588
37,0.02210227272727273,0.25791753029823306,0.9125555555555556,0.48502438859939573,0.8436
38,0.02215909090909091,0.24821568478213415,0.9150888888888888,0.38918978912830354,0.8724
39,0.02221590909090909,0.24907282529936897,0.9148666666666667,0.41379194739460945,0.8608
40,0.022272727272727274,0.24563851091066996,0.9157333333333333,0.41380509722232817,0.8632
41,0.022329545454545456,0.24323776062859429,0.9167333333333333,0.42181812454462053,0.862
42,0.02238636363636364,0.2445129557609558,0.9163333333333333,0.4184627831041813,0.8562
43,0.02244318181818182,0.23758643614451092,0.9199777777777778,0.4201135918416083,0.8608
44,0.022500000000000003,0.24060409038596683,0.9181111111111111,0.4094605140924454,0.866
45,0.022556818181818185,0.2359898175875346,0.9197555555555555,0.45500798163414,0.848
46,0.022613636363636364,0.23553179517322118,0.9197777777777778,0.463552555501461,0.8552
47,0.02267045454545455,0.2349889686399036,0.9216666666666666,0.40510495064854624,0.8662
48,0.022727272727272724,0.23006526027520496,0.9207333333333333,0.39365332937836645,0.8702
49,0.02278409090909091,0.223799065762096,0.9232,0.42967552636265754,0.8686
50,0.022840909090909092,0.22717689746220907,0.9229555555555555,0.3617062921285629,0.8792
51,0.022897727272727278,0.23050783384111193,0.9206,0.5832616603851318,0.8234
52,0.022954545454545457,0.22494961700439453,0.9224444444444444,0.41947390422821046,0.8694
53,0.02301136363636364,0.22111016209655338,0.9240888888888888,0.4119552936673164,0.8596
54,0.023068181818181818,0.21946485563384163,0.9257111111111112,0.3725741760492325,0.8772
55,0.023125000000000003,0.21968502023484973,0.9251777777777778,0.3840383147954941,0.872
56,0.023181818181818185,0.21678846169577703,0.9258444444444445,0.4256560781478882,0.8556
57,0.023238636363636364,0.21807024897469415,0.9245111111111111,0.4656365169525146,0.843
58,0.02329545454545455,0.21641593499183656,0.9246,0.4677475315093994,0.8556
59,0.023352272727272725,0.21414043769571517,0.9276888888888889,0.47680325573682786,0.8476
60,0.023409090909090907,0.21434556125534907,0.9257111111111112,0.3548225499868393,0.8784
