epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.10113636363636365,1.6718239599439833,0.37922222222222224,1.3517774272918701,0.5198
2,0.10227272727272728,1.2371436203426784,0.5558444444444445,1.1499424205780029,0.5882
3,0.10340909090909092,0.9978687356207105,0.6478444444444444,0.9765800032615661,0.6512
4,0.10454545454545455,0.8703391161176893,0.6932222222222222,0.8901817753791809,0.6832
5,0.1056818181818182,0.7960832442707486,0.7220888888888889,0.7732136888504029,0.7236
6,0.10681818181818181,0.7304729062716167,0.7447777777777778,0.7733985644340515,0.7214
7,0.10795454545454547,0.6727876854154798,0.7673111111111112,0.7269975713729858,0.7444
8,0.10909090909090909,0.6322510898272197,0.7804888888888889,0.7892429617881775,0.7314
9,0.11022727272727273,0.6118802637630039,0.7866666666666666,0.6117605264663696,0.7882
10,0.11136363636363636,0.5789510318756104,0.7994444444444444,0.6627142257690429,0.7706
11,0.1125,0.5569345660527547,0.8078666666666666,0.6282313540458679,0.7862
12,0.11363636363636363,0.5334856309043037,0.8151111111111111,0.567262941646576,0.8046
13,0.11477272727272728,0.5225302493731181,0.8198444444444445,0.6093480424880982,0.7908
14,0.11590909090909092,0.5086411161528693,0.8257111111111111,0.5524615885734558,0.809
15,0.11704545454545455,0.4868720303747389,0.8326888888888889,0.5093103118896485,0.8218
16,0.1181818181818182,0.46960663498772515,0.8376888888888889,0.5453196851730346,0.808
17,0.11931818181818182,0.4729544509993659,0.8380666666666666,0.5372410695075989,0.8168
18,0.12045454545454547,0.45250361383756,0.8448,0.502421867465973,0.8288
19,0.12159090909090908,0.4447709325896369,0.8470666666666666,0.5609045625686645,0.8126
20,0.12272727272727274,0.4417018341064453,0.8488666666666667,0.4745850803375244,0.8314
21,0.12386363636363638,0.430894076956643,0.8520222222222222,0.607633772277832,0.7956
22,0.125,0.41594160562621224,0.8554,0.5440937935829162,0.8122
23,0.12613636363636363,0.4177098084555732,0.8554444444444445,0.6686243332862855,0.7882
24,0.1272727272727273,0.4125658680703905,0.8579777777777777,0.48337743830680846,0.8316
25,0.12840909090909092,0.3965069403012594,0.8630888888888889,0.4708176553249359,0.836
26,0.12954545454545455,0.40425675554275514,0.8599333333333333,0.5914794852256775,0.8046
27,0.1306818181818182,0.39420660684903464,0.8637555555555556,0.5444769032478333,0.8106
28,0.1318181818181818,0.3868041236506568,0.8667555555555555,0.45843850493431093,0.8406
29,0.13295454545454546,0.37577280339135066,0.8706666666666667,0.4969609890937805,0.8362
30,0.1340909090909091,0.37688239445156524,0.8694666666666667,0.4955537079811096,0.8292
31,0.13522727272727272,0.36996098465919497,0.8713333333333333,0.45067917881011965,0.8406
32,0.13636363636363638,0.36372095181147257,0.8754222222222222,0.5088555233001709,0.8278
33,0.1375,0.3647679761303796,0.875,0.6124558137893676,0.8018
34,0.13863636363636364,0.35741457728279963,0.8771555555555556,0.4724665226459503,0.8374
35,0.13977272727272727,0.35636036315494113,0.8773333333333333,0.4396409155368805,0.853
36,0.14090909090909093,0.36244647880660164,0.8758888888888889,0.5302221611499787,0.819
37,0.14204545454545456,0.35605257356431746,0.8775555555555555,0.4828764720916748,0.8352
38,0.1431818181818182,0.3480051494280497,0.8800666666666667,0.43944330039024354,0.8498
39,0.14431818181818182,0.3516149868753221,0.8791111111111111,0.48698538808822633,0.837
40,0.14545454545454548,0.34546081902186077,0.8794666666666666,0.5324665616035461,0.8152
